source,Region,Key,item_code,display_name,Markup/gkm,KVI,category,sub_category,leaf_category,PRODUCT TYPE,brand,Unit wt,Total_Inventory,Last_90day_qty_Sold,Last_90day_Sale,Last90daysale_stores_cnt,latest_MRP,CP,latest_selling,gm%,Guardrail LOWER,GUARDRAIL HIGHER,SATELLITE LOW,SATELLITE HIGH
STPLS,WB,WB11171,11171,Kaju Tukda Four 250g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 4 pc,ASM,0.25,348,1443,379529,79,359,214,270,21%,20%,25%,,
STPLS,WB,WB706,706,Kaju Tukda Two 250g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 2 pc,ASM,0.25,348,1584,437482,78,369,223,280,20%,20%,25%,,
STPLS,WB,WB104535,104535,Khetika Flax Seeds 500g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,FLAX SEEDS,Khetika,0.5,298,82,11498,40,199,111,149,26%,35%,40%,,
STPLS,WB,WB104519,104519,Khetika Naturale Popular Almonds 500g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Khetika,0.5,749,89,43449,49,799,431,499,14%,15%,20%,,
STPLS,WB,WB104522,104522,Khetika Naturale Popular Cashew (W400) 500g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 400,Khetika,0.5,678,130,65946,55,900,449,520,14%,15%,20%,,
STPLS,WB,WB104518,104518,Khetika Naturale Premium California Almonds 200g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Khetika,0.2,326,77,18682,38,350,204,255,20%,20%,25%,,
STPLS,WB,WB104521,104521,Khetika Naturale Premium Cashew 200g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 240,Khetika,0.2,236,74,19509,37,399,221,280,21%,20%,25%,,
STPLS,WB,WB104527,104527,Khetika Naturale Premium Moongfali (Raw Peanuts) 500g,cost based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut White,Khetika,0.5,290,488,52915,70,149,93,125,26%,25%,30%,,
STPLS,WB,WB104520,104520,Khetika Premium Anjeer 200g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Anjeer,Khetika,0.2,88,220,73380,61,499,276,350,21%,25%,30%,,
STPLS,WB,WB104524,104524,Khetika Premium Arabian Date 500g,cost based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Khetika,0.5,1386,2924,299260,79,299,96,99,3%,15%,20%,,
STPLS,WB,WB104531,104531,Khetika Premium Chia Seeds 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,CHIA SEEDS,Khetika,0.2,188,514,59260,70,199,87,125,30%,35%,40%,,
STPLS,WB,WB104525,104525,Khetika Premium Cranberry 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Cranberry,Khetika,0.2,214,187,34591,55,249,140,199,30%,40%,45%,,
STPLS,WB,WB104523,104523,Khetika Premium Fard Dates 400 g,cost based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Khetika,0.4,387,952,169210,76,325,169,175,3%,15%,20%,,
STPLS,WB,WB104530,104530,Khetika Premium Long Raisin 200g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,Khetika,0.2,266,110,18815,46,299,140,180,22%,20%,25%,,
STPLS,WB,WB104537,104537,Khetika Premium Panchmeva - 200 gm,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Mixed Dry Fruits,Khetika,0.2,328,253,58775,71,299,180,235,23%,25%,30%,,
STPLS,WB,WB104532,104532,Khetika Premium Pumpkin Seeds 200g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,PUMPKIN SEEDS,Khetika,0.2,238,227,37267,61,249,127,169,25%,35%,40%,,
STPLS,WB,WB104528,104528,Khetika Premium Roasted & Salted Pistachios 200 g,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Pista,Pista Roasted & Salted,Khetika,0.2,143,196,65315,52,449,276,350,21%,25%,30%,,
STPLS,WB,WB104526,104526,Khetika Premium Seeds Super Mix 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,SEED MIXES,Khetika,0.2,218,298,43982,67,225,111,149,26%,35%,40%,,
STPLS,WB,WB104533,104533,Khetika Premium Sunflower seeds 200g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,SUNFLOWER SEEDS,Khetika,0.2,600,150,12554,56,169,63,89,29%,35%,40%,,
STPLS,WB,WB104534,104534,Khetika Premium Walnut Broken 200g,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Walnut,Walnut Kernels,Khetika,0.2,106,177,57525,52,429,261,325,20%,20%,25%,,
STPLS,WB,WB104536,104536,Khetika Watermelon seeds 200g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,MAGAJ SEEDS,Khetika,0.2,335,64,13056,35,299,159,209,24%,35%,40%,,
STPLS,WB,WB12391,12391,Kismis Premium 250g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.25,339,2138,368128,79,239,133,180,26%,25%,35%,,
STPLS,WB,WB90031,90031,Kismis Premium 500g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.5,356,1073,327412,78,419,265,320,17%,20%,25%,,
STPLS,WB,WB93837,93837,Kismis Raisin | 30g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.05,933,14835,296608,79,29,15,20,25%,20%,25%,,
STPLS,WB,WB710,710,Kismis Raisin 100g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.1,426,7059,498462,79,99,49,72,32%,30%,35%,,
STPLS,WB,WB711,711,Kismis Raisin 250g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.25,326,3745,581788,79,209,124,160,23%,20%,25%,,
STPLS,WB,WB709,709,Kismis Raisin 500g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.5,682,1913,549119,79,389,247,295,16%,10%,15%,,
STPLS,WB,WB104241,104241,Kismis Raisin Popular 500g,cost based,KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,ASM,0.5,793,3532,856820,78,319,218,239,9%,10%,15%,,
STPLS,WB,WB89556,89556,Lion Arabian Dates 250g B1G1 Free,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Lion,0.5,798,3963,527944,79,144,117,144,19%,15%,20%,,
STPLS,WB,WB12903,12903,Lion Arabian Dates 500g B1G1 Free,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Lion,1,414,1868,450332,78,272,220,272,19%,15%,20%,,
STPLS,WB,WB12870,12870,Lion Desert King Dates 500g,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Lion,0.5,540,854,228084,76,280,227,280,19%,15%,20%,,
STPLS,WB,WB13607,13607,Lion Qyno Dates 500g B1G1 Free,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Lion,1,291,1311,253964,78,222,180,222,19%,15%,20%,,
STPLS,WB,WB37961,37961,Lion Qyno Dates Value Pack – Buy 250g Get 250g Extra,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Lion,0.5,262,2708,282188,79,116,94,116,19%,15%,20%,,
STPLS,WB,WB715,715,Magaj Watermelon Seeds 100g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,MAGAJ SEEDS,ASM,0.1,445,2780,275194,79,129,57,99,42%,40%,45%,,
STPLS,WB,WB99161,99161,Mayurank Coconut Powder 100g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Coconut Powder,Mayurank,0.1,152,1457,81517,76,56,39,61,36%,35%,40%,,
STPLS,WB,WB99165,99165,Mayurank Peanut Pink Raw 250g,cost based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut White,Mayurank,0.25,93,1762,74983,78,43,30,43,30%,25%,30%,,
STPLS,WB,WB99164,99164,Mayurank Peanut Red Raw 250g,cost based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut Red,Mayurank,0.25,13,945,50026,77,54,38,54,30%,25%,30%,,
STPLS,WB,WB748,748,Mungfali Peanut Red 250g,cost based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut Red,ASM,0.25,35,1745,97205,78,99,38,72,47%,30%,35%,,
STPLS,WB,WB749,749,Mungfali Peanut Red 500g,cost based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut Red,ASM,0.5,15,930,90742,76,169,76,130,42%,25%,30%,,
STPLS,WB,WB750,750,Mungfali Peanut White 250g,cost based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut White,ASM,0.25,796,5313,273820,79,89,36,65,45%,30%,35%,,
STPLS,WB,WB751,751,Mungfali Peanut White 500g,cost based,KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut White,ASM,0.5,584,3856,372765,79,159,72,120,40%,25%,30%,,
STPLS,WB,WB76735,76735,Organic Tattva Organic Peanuts 500g,GKM Based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Organic Raw Peanut White,Organic Tattva,0.5,125,216,38016,46,185,139,166.5,17%,20%,25%,,
STPLS,WB,WB816,816,Pista Green 100g,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Pista,Pista Plain,ASM,0.1,392,789,221050,78,359,221,272,19%,25%,30%,,
STPLS,WB,WB70974,70974,Pooja Supari / Betel Nuts 50g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Betel Nuts,ASM,0.5,151,101,4224,48,59,27,45,40%,35%,40%,,
STPLS,WB,WB38841,38841,Pumpkin Seeds 100g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,PUMPKIN SEEDS,ASM,0.1,295,1958,132292,78,89,44.1,75,41%,40%,45%,,
STPLS,WB,WB102566,102566,Pushti Anjeer Silver | 250g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Anjeer,Pushti,0.25,122,142,69580,57,550,386,490,21%,25%,30%,,
STPLS,WB,WB104104,104104,Pushti Chironji Seeds |100 g| Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,CHIRAUNJI DANA,Pushti,0.1,216,21,5125,13,400,171,245,30%,40%,45%,,
STPLS,WB,WB104040,104040,Pushti Classic Collection Cashew & Almonds | 200g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Gift Box,Gift Box,Pushti,0.2,57,2,698,2,699,279,349,20%,20%,25%,,
STPLS,WB,WB104039,104039,Pushti Classic Collection Cashew & Raisins | 200g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Gift Box,Gift Box,Pushti,0.2,49,8,2392,4,599,235,299,21%,20%,25%,,
STPLS,WB,WB104041,104041,Pushti Classic Collection Cashew Almonds & Raisins | 300g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Gift Box,Gift Box,Pushti,0.3,55,7,3038,7,869,348,434,20%,20%,25%,,
STPLS,WB,WB103764,103764,Pushti Gold Red Peanut | 500g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Raw Peanut,Raw Peanut,Raw Peanut Red,Pushti,0.5,23,237,25581,67,160,84,120,30%,25%,30%,,
STPLS,WB,WB78997,78997,Pushti Natural Tasty Chile Walnuts | 500 g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Walnut,WALNUT KERNELS,Pushti,0.5,42,237,125789,65,800,460,535,14%,20%,25%,,
STPLS,WB,WB101334,101334,Pushti Panchmeva 250 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Mixed Dry Fruits,Pushti,0.25,114,509,101263,75,250,145,199,27%,25%,30%,,
STPLS,WB,WB104107,104107,Pushti Raisins Silver Tray |100 g| Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,Pushti,0.1,169,128,10240,58,90,53,80,34%,30%,35%,,
STPLS,WB,WB94498,94498,Pushti Roasted & Salted American Pistachios | 100 g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Pista,Pista Roasted & Salted,Pushti,0.1,188,250,37475,67,250,110,150,27%,25%,30%,,
STPLS,WB,WB78999,78999,Pushti Roasted & Salted American Pistachios | 250 g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Pista,Pista Roasted & Salted,Pushti,0.25,25,323,115883,71,400,261,360,28%,25%,30%,,
STPLS,WB,WB87558,87558,Pushti Silver California walnut Kernels | 250 g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Walnut,WALNUT KERNELS,Pushti,0.25,43,289,161530,74,600,360,560,36%,20%,25%,,
STPLS,WB,WB102362,102362,Ramadan Arabian Dates | 250g | B1G1,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Ramadan,0.25,97,892,115920,72,130,97,130,25%,20%,25%,,
STPLS,WB,WB12875,12875,Ramadan Arabian Dates | 500g | Buy 1 Get 1 Free,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Ramadan,0.5,301,392,100050,74,255,191,255,25%,20%,25%,,
STPLS,WB,WB102363,102363,Ramadan Arabian Gold Dates | 500g | B1G1,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Ramadan,0.5,310,205,52395,69,255,191,255,25%,20%,25%,,
STPLS,WB,WB102364,102364,Ramadan Desert Diamond Dates 500g,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Ramadan,0.5,255,233,46363,70,199,149,199,25%,20%,25%,,
STPLS,WB,WB104629,104629,Ramadan Kimia Gold Dates 400gm,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Ramadan,0.4,719,806,165301,77,425,130,203,36%,20%,25%,,
STPLS,WB,WB102367,102367,Ramadan Navhmeva Dry Fruit Jar | 400g | Pack of 1,GKM Based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Mixed Dry Fruits,Ramadan,0.4,26,178,77390,66,559,315,531,41%,35%,40%,,
STPLS,WB,WB102365,102365,Ramadan Panchmeva Dry Fruit Jar | 400g | Pack of 1,GKM Based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Mixed Dry Fruits,Ramadan,0.4,40,208,85148,67,559,315,531,41%,35%,40%,,
STPLS,WB,WB102366,102366,Ramadan Satmeva Dry Fruit Jar | 400g | Pack of 1,GKM Based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Mixed Dry Fruits,Ramadan,0.4,23,218,91934,68,559,315,531,41%,35%,40%,,
STPLS,WB,WB89117,89117,Ramdan Black Gold Dates | 400g | Buy 1 Get 1 Free,GKM Based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Ramadan,0.4,125,217,68470,69,316,237,316,25%,20%,25%,,
STPLS,WB,WB96291,96291,Regency California Almonds 250g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Regency,0.25,7,271,78377,74,395,212,250,15%,20%,25%,,
STPLS,WB,WB96294,96294,Regency California Pista Rosted & Salted 200g,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Pista,Pista Roasted & Salted,Regency,0.2,13,253,82120,73,380,230,325,29%,25%,30%,,
STPLS,WB,WB96293,96293,Regency Cashew W320 250g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 320,Regency,0.25,30,237,80581,69,475,269,345,22%,25%,30%,,
STPLS,WB,WB96300,96300,Regency Independence Almond 250g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Regency,0.25,57,89,25768,46,375,199,299,33%,20%,25%,,
STPLS,WB,WB96301,96301,Regency Indian kishmish 250g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,Regency,0.25,61,172,35645,63,250,144,210,31%,30%,35%,,
STPLS,WB,WB96340,96340,Regency Indian kishmish Long 250g,cost based,NON KVI,Dry Fruits & Nuts,Raisins,Raisins,Raisins Plain,Regency,0.25,26,63,13640,40,275,150,220,32%,30%,35%,,
STPLS,WB,WB96353,96353,Regency Trail Mix 80g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,SEED MIXES,Regency,0.25,37,278,38364,73,150,80,138,42%,40%,45%,,
STPLS,WB,WB96292,96292,Regency USA Almond 500g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Regency,0.5,30,173,88984,68,785,420,520,19%,15%,20%,,
STPLS,WB,WB38839,38839,Sunflower Seeds 100g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,SUNFLOWER SEEDS,ASM,0.1,328,976,37587,76,39,17,29,41%,40%,45%,,
STPLS,CG,CG1614,1614,Aashirvaad Multigrain Atta 5 Kg,cost based,NON KVI,Flours & Grains,Flours,Multigrain Flour,Multigrain Flour,Aashirvaad,5,520,1935,657542,33,391,321,342,6%,7%,8%,8%,9%
STPLS,CG,CG12388,12388,Aashirvaad Select Sharbatti Atta 5 kg,cost based,NON KVI,Flours & Grains,Flours,Wheat Flour,Sharbati wheat flour,Aashirvaad,5,162,749,250166,33,378,310,335,7%,7%,8%,8%,9%
STPLS,CG,CG1615,1615,Aashirvaad Shudh Chakki Atta 10 Kg,cost based,NON KVI,Flours & Grains,Flours,Wheat Flour,Whole wheat flour,Aashirvaad,10,355,2688,1275415,33,516,453,479,5%,5%,7%,6%,8%
STPLS,CG,CG2405,2405,Aashirvaad Shudh Chakki Atta 5 Kg,cost based,Super KVI,Flours & Grains,Flours,Wheat Flour,Whole wheat flour,Aashirvaad,5,570,11928,2888571,33,263,230,245,6%,5%,7%,6%,8%
STPLS,CG,CG650,650,Arrowroot Powder | 500g | Pack of 1,cost based,NON KVI,Flours & Grains,Flours,Other Flours,Arrowroot Powder,ASM,0.5,234,603,28696,32,59,26,47,45%,30%,35%,,
STPLS,CG,CG84718,84718,Bajra Atta - 500g,cost based,NON KVI,Flours & Grains,Flours,Millet Flour,Bajra Flour,ASM,0.5,211,1067,45248,33,49,25,43,42%,40%,45%,,
STPLS,CG,CG69961,69961,Besan 500g,cost based,KVI,Flours & Grains,Flours,Besan,Besan,ASM,0.5,848,4004,200212,33,59,34,50,32%,30%,35%,35%,40%
STPLS,CG,CG90026,90026,Chana Besan 1Kg,cost based,NON KVI,Flours & Grains,Flours,Besan,Besan,ASM,1,710,2668,253347,33,109,68,89,24%,15%,20%,,
STPLS,CG,CG2621,2621,Fortune Besan 500g,cost based,NON KVI,Flours & Grains,Flours,Besan,Besan,Fortune,0.5,1283,8208,484272,33,85,46,59,22%,20%,25%,,
STPLS,CG,CG2619,2619,Fortune Chakki Fresh Atta | 5kg | Pack of 1,cost based,NON KVI,Flours & Grains,Flours,Wheat Flour,Whole wheat flour,Fortune,5,444,3541,804182,33,258,207,230,10%,6%,8%,7%,9%
STPLS,CG,CG2618,2618,Fortune Chakki Fresh Atta 10 Kg,cost based,NON KVI,Flours & Grains,Flours,Wheat Flour,Whole wheat flour,Fortune,10,261,1367,595213,33,495,405,437,7%,6%,8%,7%,9%
STPLS,CG,CG13273,13273,Fortune Maida 500g,cost based,NON KVI,Flours & Grains,Flours,Maida,Maida,Fortune,0.5,908,3235,110046,32,44,25,38,34%,20%,25%,,
STPLS,CG,CG13272,13272,Fortune Suji 500g,cost based,NON KVI,Flours & Grains,Sooji & Daliya,Sooji & Rava,Sooji,Fortune,0.5,1901,9450,334399,33,45,26,39,33%,25%,30%,,
STPLS,CG,CG23924,23924,Jowar Atta 500g,cost based,NON KVI,Flours & Grains,Flours,Millet Flour,Jowar Flour,ASM,0.5,383,1066,40957,33,49,27,39,31%,30%,35%,,
STPLS,CG,CG103036,103036,Kodo An Ancient Super Grains | 500gm | Pack of 1,cost based,NON KVI,Flours & Grains,Grains,Millets & Other Grains,Kodo Millet,Positive Grains,0.5,77,66,8184,24,130,91,124,27%,25%,30%,,
STPLS,CG,CG93144,93144,Kodo Millet Hulled 500 g,cost based,NON KVI,Flours & Grains,Grains,Millets & Other Grains,Kodo Millet,ASM,0.5,402,480,21148,32,59,28,44,36%,35%,40%,,
STPLS,CG,CG8689,8689,Maida 1 Kg,cost based,KVI,Flours & Grains,Flours,Maida,Maida,ASM,1,1104,4993,233565,33,59,30,46,35%,30%,35%,,
STPLS,CG,CG721,721,Maida 500g,cost based,NON KVI,Flours & Grains,Flours,Maida,Maida,ASM,0.5,913,2603,62405,33,29,15,24,38%,35%,40%,,
STPLS,CG,CG84720,84720,Makka Atta - 500g,cost based,NON KVI,Flours & Grains,Flours,Other Flours,Maize Flour,ASM,0.5,321,1751,70040,33,49,29,40,28%,30%,35%,,
STPLS,CG,CG723,723,Makka Popcorn Dana | 100g | Pack of 1,cost based,NON KVI,Flours & Grains,Grains,Maize,Sweet Corn,ASM,0.1,481,1083,32468,33,39,15,30,50%,55%,60%,,
STPLS,CG,CG79342,79342,Mohta Besan 500g,cost based,NON KVI,Flours & Grains,Flours,Besan,Besan,Mohta,0.5,538,1599,98178,33,85,46,60,23%,20%,25%,,
STPLS,CG,CG78894,78894,Mohta Chana Daliya 200g,cost based,NON KVI,Flours & Grains,Sooji & Daliya,Daliya,Daliya,Mohta,0.2,20,523,20846,31,42,25,40,38%,20%,25%,,
STPLS,CG,CG79344,79344,Mohta Chana Sattu 500g,cost based,NON KVI,Flours & Grains,Flours,Sattu,Sattu,Mohta,0.5,465,1504,117309,33,95,54,78,31%,25%,30%,,
STPLS,CG,CG79378,79378,Mohta Edli Rava 500g,cost based,NON KVI,Flours & Grains,Sooji & Daliya,Sooji & Rava,Idly Rava,Mohta,0.5,288,1386,42907,33,32,20,31,35%,30%,35%,,
STPLS,CG,CG78897,78897,Mohta Maida 500g,cost based,NON KVI,Flours & Grains,Flours,Maida,Maida,Mohta,0.5,31,2253,65222,31,34,20,29,31%,25%,30%,,
STPLS,CG,CG78895,78895,Mohta Rice Powder 500g,cost based,NON KVI,Flours & Grains,Flours,Other Flours,Rice Flour,Mohta,0.5,221,1874,63713,33,36,23,34,32%,30%,35%,,
STPLS,CG,CG78898,78898,Mohta Suji 500g,cost based,NON KVI,Flours & Grains,Sooji & Daliya,Sooji & Rava,Sooji,Mohta,0.5,957,5924,177471,33,34,21,30,30%,25%,30%,,
STPLS,CG,CG78891,78891,Mohta Wheat Daliya 500g,cost based,NON KVI,Flours & Grains,Sooji & Daliya,Daliya,Daliya,Mohta,0.5,1660,7140,228480,33,42,22,32,31%,20%,25%,,
STPLS,CG,CG71094,71094,Organic Tattva Foxtail Millet | 500g | Pack of 1,GKM Based,NON KVI,Flours & Grains,Grains,Millets & Other Grains,Organic Foxtail Millet,Organic Tattva,0.5,104,65,9906,21,145,109,120.35,9%,20%,25%,,
STPLS,CG,CG70328,70328,Organic Tattva Organic Bajra Flour | 500g | Pack of 1,GKM Based,NON KVI,Flours & Grains,Flours,Millet Flour,Organic Bajra Flour,Organic Tattva,0.5,181,189,13419,28,75,56,62.25,10%,20%,25%,,
STPLS,CG,CG27223,27223,Organic Tattva Organic Jowar Flour - 500g,GKM Based,NON KVI,Flours & Grains,Flours,Millet Flour,Organic Jowar Flour,Organic Tattva,0.5,206,208,15808,27,80,60,66.4,10%,20%,25%,,
STPLS,CG,CG70329,70329,Organic Tattva Organic Multigrain Flour 1 kg,GKM Based,NON KVI,Flours & Grains,Flours,Multigrain Flour,Organic Multigrain Flour,Organic Tattva,1,220,157,18683,26,125,94,103.75,9%,20%,25%,,
STPLS,CG,CG27447,27447,Organic Tattva Organic Quinoa 500g,GKM Based,NON KVI,Flours & Grains,Grains,Millets & Other Grains,Organic Quinoa,Organic Tattva,0.5,39,10,2760,6,290,217,276,21%,20%,25%,,
STPLS,CG,CG28709,28709,Organic Tattva Organic Ragi Flour | 500g | Pack of 1,GKM Based,NON KVI,Flours & Grains,Flours,Millet Flour,Organic Ragi Flour,Organic Tattva,0.5,176,217,18284,28,95,71,78.85,10%,20%,25%,,
STPLS,CG,CG70389,70389,Organic Tattva Organic Suji 500g,GKM Based,NON KVI,Flours & Grains,Sooji & Daliya,Sooji & Rava,Organic Sooji,Organic Tattva,0.5,93,158,11218,26,75,56,62.25,10%,20%,25%,,
STPLS,CG,CG71025,71025,Organic Tattva Organic Whole Wheat Flour 5kg,GKM Based,NON KVI,Flours & Grains,Flours,Wheat Flour,Organic Whole wheat flour,Organic Tattva,5,87,59,22266,21,399,299,351.12,15%,20%,25%,,
STPLS,CG,CG2620,2620,Patanjali Whole Wheat Atta 5 Kg,cost based,NON KVI,Flours & Grains,Flours,Wheat Flour,Whole wheat flour,Patanjali,5,239,779,179204,33,250,211,230,8%,7%,8%,8%,9%
STPLS,CG,CG103037,103037,Ragi An Ancient Super Grains | 500Gm | Pack of 1,cost based,NON KVI,Flours & Grains,Grains,Millets & Other Grains,RAGI WHOLE,Positive Grains,0.5,87,44,4796,21,115,81,109,26%,25%,30%,,
STPLS,CG,CG78552,78552,Ragi Flour 500g,cost based,NON KVI,Flours & Grains,Flours,Millet Flour,Ragi Flour,ASM,0.5,468,1356,59310,33,59,34,44,23%,25%,30%,,
STPLS,CG,CG78266,78266,Rice Flour 500g,cost based,NON KVI,Flours & Grains,Flours,Other Flours,Rice Flour,ASM,0.5,444,3196,102272,33,39,20,32,38%,30%,35%,,
STPLS,CG,CG67847,67847,Sachamoti Sharbati Wheat 30 Kg,cost based,NON KVI,Flours & Grains,Grains,Wheat,Wheat Sharbati,Sachamoti,30,53,315,345763,32,1269,1050,1099,4%,3%,4%,4%,5%
STPLS,CG,CG103830,103830,Sakhi Master Golden Wheat Sharbati Atta | 5Kg | Pack of 1,cost based,NON KVI,Flours & Grains,Flours,Wheat Flour,Whole wheat flour,Shubh Sakhi,5,315,163,37152,29,315,195,228,14%,10%,12%,,
STPLS,CG,CG77030,77030,Sattu 500g,cost based,NON KVI,Flours & Grains,Flours,Sattu,Sattu,ASM,0.5,380,721,58507,33,99,61,80,24%,20%,25%,,
STPLS,CG,CG95314,95314,Sharbatiya Sharbati Atta 5kg,cost based,NON KVI,Flours & Grains,Flours,Wheat Flour,Sharbati wheat flour,Sharbatim,5,267,1083,232531,33,290,186,215,13%,10%,12%,,
STPLS,CG,CG95315,95315,Shubh Sakhi Atta 1 Kg,cost based,NON KVI,Flours & Grains,Flours,Wheat Flour,Whole wheat flour,Shubh Sakhi,1,878,5765,230565,33,55,34,40,15%,10%,12%,,
