source,KEY,STATE,STATE KEY,item_code,display_name,master category,KVI / NKVI TAG
FMCGF,WB104240,WB,2,104240,Kaju Cashew Popular 500g,STPLS,KVI
FMCGF,CG104240,CG,3,104240,Kaju Cashew Popular 500g,STPLS,KVI
FMCGF,CG95466,CG,3,95466,Kala Chana Loose 1 Kg,STPLS,Super KVI
FMCGF,WB95466,WB,2,95466,Kala Chana Loose 1 Kg,STPLS,KVI
FMCGF,CG67850,CG,3,67850,Kalimooch Rice Loose 1Kg,STPLS,Super KVI
FMCGF,CG85006,CG,3,85006,Khatri Chilli Powder 200g,STPLS,KVI
FMCGF,CG85003,CG,3,85003,Khatri Dhaniya Powder 200g,STPLS,KVI
FMCGF,CG85633,CG,3,85633,Khatri Haldi Powder 200g,STPLS,KVI
FMCGF,CG10015,CG,3,10015,Kings Soyabean Oil Pouch | 750g | Pack of 1,STPLS,Super KVI
FMCGF,WB10015,WB,2,10015,Kings Soyabean Oil Pouch | 750g | Pack of 1,STPLS,Super KVI
FMCGF,CG68173,CG,3,68173,Kirti Gold Refined Soyabean Oil 1Ltr,STPLS,Super KVI
FMCGF,JH104241,JH,1,104241,Kismis Raisin Popular 500g,STPLS,KVI
FMCGF,WB104241,WB,2,104241,Kismis Raisin Popular 500g,STPLS,KVI
FMCGF,CG104241,CG,3,104241,Kismis Raisin Popular 500g,STPLS,KVI
FMCGF,CG68178,CG,3,68178,Lal Gulab Mustard Oil 1 Ltr,STPLS,KVI
FMCGF,JH765,JH,1,765,Lal Mirch Khada With Stick 100g,STPLS,KVI
FMCGF,WB713,WB,2,713,Lal Mirch Khada Without Stick 100g,STPLS,KVI
FMCGF,WB81590,WB,2,81590,Lalbaba Superior Miniket Rice 26 Kg,STPLS,KVI
FMCGF,JH10017,JH,1,10017,Mahakosh Soyabean Oil | 750g | Pack of 1,STPLS,Super KVI
FMCGF,CG10017,CG,3,10017,Mahakosh Soyabean Oil | 750g | Pack of 1,STPLS,KVI
FMCGF,CG8689,CG,3,8689,Maida 1 Kg,STPLS,KVI
FMCGF,JH95370,JH,1,95370,Maida Loose | 1kg,STPLS,KVI
FMCGF,WB95370,WB,2,95370,Maida Loose | 1kg | Pack of 1,STPLS,Super KVI
FMCGF,CG93935,CG,3,93935,Masoor Dal Loose 1 Kg,STPLS,KVI
FMCGF,JH95358,JH,1,95358,Masoor Malka Red Whole 1 Kg Loose,STPLS,Super KVI
FMCGF,WB95358,WB,2,95358,Masoor Malka Red Whole 1 Kg Loose,STPLS,Super KVI
FMCGF,JH90233,JH,1,90233,Miniket Boiled Rice 1Kg Loose,STPLS,Super KVI
FMCGF,WB96160,WB,2,96160,Miniket Regular Rice Loose | 1kg,STPLS,Super KVI
FMCGF,WB93936,WB,2,93936,Moong Dal Yellow 1 Kg Loose,STPLS,Super KVI
FMCGF,CG93936,CG,3,93936,Moong Dal Yellow 1 Kg Loose,STPLS,KVI
FMCGF,JH93936,JH,1,93936,Moong Dal Yellow 1 Kg Loose,STPLS,KVI
FMCGF,CG10552,CG,3,10552,Mota Sounf 100g,STPLS,KVI
FMCGF,JH10552,JH,1,10552,Mota Sounf 100g,STPLS,KVI
FMCGF,CG751,CG,3,751,Mungfali Peanut White 500g,STPLS,KVI
FMCGF,JH8552,JH,1,8552,Panchkanya Sooji 500g,STPLS,KVI
FMCGF,JH8445,JH,1,8445,Parrot Haldi Powder 100g,STPLS,KVI
FMCGF,CG77735,CG,3,77735,Pawan Brand Makhana | 250g | Pack of 1,STPLS,KVI
FMCGF,WB96335,WB,2,96335,Posta Loose 1Kg,STPLS,Super KVI
FMCGF,JH68222,JH,1,68222,Premium Usna Loose Rice 1Kg,STPLS,Super KVI
FMCGF,CG81726,CG,3,81726,Raja Rani Lachkari Kolam Dubar Rice 30 Kg,STPLS,KVI
FMCGF,WB96145,WB,2,96145,Ratna Boiled Rice Loose 1Kg,STPLS,Super KVI
FMCGF,JH10706,JH,1,10706,Sachamoti Sabudana 500g,STPLS,KVI
FMCGF,JH8285,JH,1,8285,Saloni Kachchi Ghani Mustard Oil 1 Ltr,STPLS,Super KVI
FMCGF,JH9878,JH,1,9878,Shree Bhajan Whole Wheat Atta 5 Kg,STPLS,Super KVI
FMCGF,WB96133,WB,2,96133,Sona Moong Dal Loose 1 Kg,STPLS,KVI
FMCGF,JH93951,JH,1,93951,Sonam Steamed Loose Rice,STPLS,KVI
FMCGF,JH10103,JH,1,10103,Steam Katarni Loose Rice,STPLS,Super KVI
FMCGF,CG23319,CG,3,23319,Sunder Sakhi Suji | 500g | Pack of 1,STPLS,KVI
FMCGF,WB28122,WB,2,28122,Sunrise Pure Haldi Powder 200g,STPLS,KVI
FMCGF,JH93934,JH,1,93934,Toor Dal Loose | 1Kg,STPLS,Super KVI
FMCGF,CG93934,CG,3,93934,Toor Dal Loose | 1Kg,STPLS,Super KVI
FMCGF,WB93934,WB,2,93934,Toor Dal Loose | 1Kg,STPLS,Super KVI
FMCGF,WB96272,WB,2,96272,Tulsi Bhog Rice Loose 1 Kg,STPLS,KVI
FMCGF,WB95356,WB,2,95356,Wheat Atta 1 Kg Loose,STPLS,Super KVI
FMCGF,JH95356,JH,1,95356,Wheat Atta 1 Kg Loose,STPLS,Super KVI
FMCGF,CG95356,CG,3,95356,Wheat Atta 1 Kg Loose,STPLS,Super KVI
FMCGF,JH90513,JH,1,90513,White Crystal Sugar | 1 Kg | Pack of 1,STPLS,Super KVI
FMCGF,WB90513,WB,2,90513,White Crystal Sugar | 1 Kg | Pack of 1,STPLS,Super KVI
FMCGF,CG90513,CG,3,90513,White Crystal Sugar | 1 Kg | Pack of 1,STPLS,Super KVI
FMCGF,CG79085,CG,3,79085,White Platinum Super Rice 26 Kg,STPLS,KVI
FMCGF,WB95367,WB,2,95367,Whole Grain Basmati Rice 1 Kg Loose,STPLS,KVI
FMCGF,JH95367,JH,1,95367,Whole Grain Basmati Rice 1 Kg Loose,STPLS,KVI
FMCGF,JH4286,JH,1,4286,Surf Excel Easy Wash Detergent Powder | 1 Kg | Pack of 1,FMCGNF,KVI
FMCGF,JH838,JH,1,838,Active Wheel 2 in 1 Clean & Fresh Detergent Powder 1kg,FMCGNF,KVI
FMCGF,JH8080,JH,1,8080,Surf Excel Easy Wash 500g,FMCGNF,KVI
FMCGF,CG4286,CG,3,4286,Surf Excel Easy Wash Detergent Powder | 1 Kg | Pack of 1,FMCGNF,KVI
FMCGF,WB4286,WB,2,4286,Surf Excel Easy Wash Detergent Powder | 1 Kg | Pack of 1,FMCGNF,KVI
FMCGF,WB14334,WB,2,14334,Sunlight Detergent Powder 1 kg,FMCGNF,KVI
FMCGF,WB8080,WB,2,8080,Surf Excel Easy Wash 500g,FMCGNF,KVI
FMCGF,JH5056,JH,1,5056,Surf Excel Easy Wash Detergent Powder 1.5 Kg,FMCGNF,KVI
FMCGF,CG10588,CG,3,10588,Ghadi Detergent Powder 1 Kg,FMCGNF,KVI
FMCGF,CG22682,CG,3,22682,Ghadi Detergent Powder 3 Kg,FMCGNF,KVI
FMCGF,WB76434,WB,2,76434,Good Knight Gold Flash Mosquito Repellent Refill 45ml 2N,FMCGNF,KVI
FMCGF,JH840,JH,1,840,Active Wheel 2in1 Detergent Powder 500g,FMCGNF,KVI
FMCGF,JH8328,JH,1,8328,Harpic Power Plus Original Toilet Cleaner 500ml,FMCGNF,KVI
FMCGF,JH22682,JH,1,22682,Ghadi Detergent Powder 3 Kg,FMCGNF,KVI
FMCGF,JH86569,JH,1,86569,Lux Ultimate Glow Jasmine Vitamin C+E Soap 100g*4N,FMCGNF,KVI
FMCGF,WB96128,WB,2,96128,Safed Detergent Powder Pouch 1 Kg,FMCGNF,KVI
FMCGF,CG838,CG,3,838,Active Wheel 2 in 1 Clean & Fresh Detergent Powder 1kg,FMCGNF,KVI
FMCGF,CG8080,CG,3,8080,Surf Excel Easy Wash 500g,FMCGNF,KVI
FMCGF,WB17443,WB,2,17443,Sunlight Detergent Powder Pouch 500g,FMCGNF,KVI
FMCGF,JH10588,JH,1,10588,Ghadi Detergent Powder 1 Kg,FMCGNF,KVI
FMCGF,JH15846,JH,1,15846,Surf Excel Detergent Bar | 200g x 4 | Pack of 4,FMCGNF,KVI
FMCGF,JH23525,JH,1,23525,Sensodyne Sensitive Soft Toothbrush | Buy 2 Get 1 Free | Pack of 3,FMCGNF,KVI
FMCGF,WB5026,WB,2,5026,Sensodyne Toothpaste Fresh Gel 150g,FMCGNF,KVI
FMCGF,WB8328,WB,2,8328,Harpic Power Plus Original Toilet Cleaner 500ml,FMCGNF,KVI
FMCGF,JH1513,JH,1,1513,Dettol Original Soap Bar 5 X 100g Set 4+1,FMCGNF,KVI
FMCGF,WB8063,WB,2,8063,Harpic Power Plus 10X Max Toilet Cleaner 900ml,FMCGNF,KVI
FMCGF,JH82422,JH,1,82422,Stayfree Secure Cottony Extra Large 18N,FMCGNF,KVI
FMCGF,JH8063,JH,1,8063,Harpic Power Plus 10X Max Toilet Cleaner 900ml,FMCGNF,KVI
FMCGF,JH1363,JH,1,1363,Colgate Dental Cream Strong Teeth Toothpaste 200g,FMCGNF,KVI
FMCGF,JH23642,JH,1,23642,Parachute Coconut Oil Bottle | 600ml | Pack of 1,FMCGNF,KVI
FMCGF,WB5056,WB,2,5056,Surf Excel Easy Wash Detergent Powder 1.5 Kg,FMCGNF,KVI
FMCGF,JH5026,JH,1,5026,Sensodyne Toothpaste Fresh Gel 150g,FMCGNF,KVI
FMCGF,WB87465,WB,2,87465,Good Knight Gold Flash Liquid Vapouriser Refill 1N,FMCGNF,KVI
FMCGF,WB4315,WB,2,4315,Vim Dish Wash Bar Best Ever Tub | 500g | Pack of 1,FMCGNF,KVI
FMCGF,JH5024,JH,1,5024,Sensodyne Repair & Protect 100g,FMCGNF,KVI
FMCGF,CG8328,CG,3,8328,Harpic Power Plus Original Toilet Cleaner 500ml,FMCGNF,KVI
FMCGF,JH4315,JH,1,4315,Vim Dish Wash Bar Best Ever Tub | 500g | Pack of 1,FMCGNF,KVI
FMCGF,JH5185,JH,1,5185,Surf Excel Easy Wash 3 Kg,FMCGNF,KVI
FMCGF,JH11272,JH,1,11272,Colgate Strong Teeth Toothpaste (Free 15% Extra) 100 g,FMCGNF,KVI
FMCGF,WB4334,WB,2,4334,Good Knight Flash Combo Pack Machine + Refill 1 N,FMCGNF,KVI
FMCGF,JH5003,JH,1,5003,Parachute Coconut Oil Bottle | 100ml | Pack of 1,FMCGNF,KVI
FMCGF,WB5024,WB,2,5024,Sensodyne Repair & Protect 100g,FMCGNF,KVI
FMCGF,WB86569,WB,2,86569,Lux Ultimate Glow Jasmine Vitamin C+E Soap 100g*4N,FMCGNF,KVI
FMCGF,JH12463,JH,1,12463,Parachute Coconut Oil Bottle 200ml,FMCGNF,KVI
FMCGF,JH4329,JH,1,4329,Good Knight Power Activ+ Refills | 45ml | Pack of 2,FMCGNF,KVI
FMCGF,JH5028,JH,1,5028,Sensodyne Toothpaste Fresh Gel 75g,FMCGNF,KVI
FMCGF,JH9963,JH,1,9963,Stay Free Cotton Extra Large 40 Pads,FMCGNF,KVI
FMCGF,JH76434,JH,1,76434,Good Knight Gold Flash Mosquito Repellent Refill 45ml 2N,FMCGNF,KVI
FMCGF,JH67638,JH,1,67638,Ponds Super Light Gel Hydrated Glow 50ml,FMCGNF,KVI
FMCGF,WB2628,WB,2,2628,Jac Olivol Body Oil 300ml,FMCGNF,KVI
FMCGF,JH1362,JH,1,1362,Colgate Cibaca Toothpaste 175g,FMCGNF,KVI
