source,Key,State,Marketed By,Brand,Item Code,Item Name,System MRP,MRP by Vendor,GKM (TOT Margin),GRN Margin,April invoice Landing,April Offer %,April Offer Rs.,April Final Landing,Promo Type,Category,Sub Category,Leaf Category,Apr 26 invoice Landing,Apr 26 Offer %,Apr 26 Offer Rs.,Apr 26 Final Landing,Offer Link,On Pack Selling Price,KEY,STATE,MRP,% Offer,Rs.Offer,Promo Per Unit,FINAL OFFER VALUE,LATEST INWARD COST,OFF INVOICE ADJUSTED COST
FMCGF,JH13050,JH,Tata Consumer Products,Tata,13050,Chings Veg Hakka Noodles | 560g | Pack of 1,,113,20.50%,30.50%,89.84,10.00%,11.3,78.54,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH84,JH,Tata Consumer Products,Tata,84,Chings Dark Soya Sauce Pouch 90g,,25,20.50%,32.50%,19.88,12.00%,3,16.88,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH85,JH,Tata Consumer Products,Tata,85,Chings Green Chilli Sauce Pouch 90g,,25,20.50%,32.50%,19.88,12.00%,3,16.88,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH108,JH,Tata Consumer Products,Tata,108,Chings Secret Red Chilli Sauce 90g,,25,20.50%,32.50%,19.88,12.00%,3,16.88,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH95,JH,Tata Consumer Products,Tata,95,Chings Secret Dark Soy Sauce 210g,,56,20.50%,40.50%,44.52,20.00%,11.2,33.32,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH96,JH,Tata Consumer Products,Tata,96,Chings Secret Green Chilli Sauce 190g,,60,20.50%,40.50%,47.7,20.00%,12,35.7,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH107,JH,Tata Consumer Products,Tata,107,Chings Secret Red Chilli Sauce 200g,,56,20.50%,40.50%,44.52,20.00%,11.2,33.32,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH92,JH,Tata Consumer Products,Tata,92,Chings Schezwan Chutney | 250g | Pack of 1,,90,20.50%,31.61%,71.55,11.11%,10,61.55,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH85317,JH,Tata Consumer Products,Tata,85317,Tata Coffee Grand Special Edition Premium Instant Coffee 50g,,215,13.50%,15.36%,185.98,1.86%,4,181.98,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH12833,JH,Tata Consumer Products,Tata,12833,Tata Tea Agni 1Kg,,200,13.50%,21.50%,173,8.00%,16,157,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH2492,JH,Tata Consumer Products,Tata,2492,Tata Tea Agni 500g,,120,13.50%,17.67%,103.8,4.17%,5,98.8,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH2496,JH,Tata Consumer Products,Tata,2496,Tata Tea Gold 500g,,260,13.50%,25.04%,224.9,11.54%,30,194.9,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH84141,JH,Tata Consumer Products,Tata,84141,Tata Tea Premium Leaf 1 kg,,480,13.50%,28.08%,415.2,14.58%,70,345.2,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH9990,JH,Tata Consumer Products,Tata,9990,Tetley Green Tea Ginger Mint & Lemon 25 Tea Bags,,190,13.50%,17.18%,164.35,3.68%,7,157.35,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH9989,JH,Tata Consumer Products,Tata,9989,Tetley Green Tea Lemon & Honey 25 Tea Bags,,190,13.50%,17.18%,164.35,3.68%,7,157.35,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH8703,JH,ITC Ltd,Sunfeast Mom's Magic,8703,Sunfeast Moms Magic Rich Butter 197g,,35,14.00%,24.00%,30.1,10%,3.5,26.6,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH68870,JH,ITC Ltd,Sunfeast,68870,Sunfeast Farmlite Digestive Oats with Raisins Biscuits 150g,,75,14.00%,29.00%,64.5,15%,11.25,53.25,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH75499,JH,ITC Ltd,Sunfeast,75499,Sunfeast Farmlite Active Oats with Almonds Biscuits 150g,,75,14.00%,29.00%,64.5,15%,11.25,53.25,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH88944,JH,ITC Ltd,Sunfeast,88944,Sunfeast All Rounder Chatpata Masala Biscuits | 70.5g | Pack of 1,,25,14.00%,29.00%,21.5,15%,3.75,17.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH34755,JH,ITC Ltd,Sunfeast,34755,Sunfeast Nice Sugar Sprinkled Biscuits | 142g | Pack of 1,,25,14.00%,29.00%,21.5,15%,3.75,17.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH2916,JH,ITC Ltd,Sunfeast,2916,Sunfeast Moms Magic Cashew & Almond Cookies 197g,,40,14.00%,24.00%,34.4,10%,4,30.4,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH13393,JH,ITC Ltd,Sunfeast,13393,Sunfeast Caker Sliced With Chocolate Flavour 42g,,10,14.00%,29.00%,8.6,15%,1.5,7.1,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH13391,JH,ITC Ltd,Sunfeast,13391,Sunfeast Caker Sliced With Mixed Fruit 35g,,10,14.00%,29.00%,8.6,15%,1.5,7.1,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH69076,JH,ITC Ltd,Sunfeast,69076,Sunfeast Caker Swiss Roll With Choco Cake 23g,,10,14.00%,29.00%,8.6,15%,1.5,7.1,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH92137,JH,ITC Ltd,Bingo,92137,Bingo Mad Angles Very Peri Peri 130 g,,50,15.00%,40.00%,42.5,25%,12.5,30,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH100857,JH,ITC Ltd,Bingo,100857,Bingo! Chilli Lemon Nachos Flavour 80g Pack of 1,,50,15.00%,40.00%,42.5,25%,12.5,30,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH87641,JH,ITC Ltd,Bingo,87641,Bingo Mad Angles Achaari Masti | 117g | Pack of 1,,50,15.00%,40.00%,42.5,25%,12.5,30,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH92150,JH,ITC Ltd,Bingo,92150,Bingo Nachos Cheese Flavour 80g,,50,15.00%,40.00%,42.5,25%,12.5,30,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH13339,JH,ITC Ltd,Bingo,13339,Bingo Mad Angels Mmm Masala 60g,,20,15.00%,35.00%,17,20%,4,13,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH14083,JH,ITC Ltd,Bingo,14083,Bingo Mad Angles Achaari Masti Spicy 66g,,20,15.00%,35.00%,17,20%,4,13,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH82426,JH,ITC Ltd,Bingo,82426,Bingo Mad Angles MMMMM Masala 33g,,10,15.00%,35.00%,8.5,20%,2,6.5,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH13332,JH,ITC Ltd,Bingo,13332,Bingo Mad Angles Tomato Madness 60g,,20,15.00%,35.00%,17,20%,4,13,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH95165,JH,ITC Ltd,Bingo,95165,Bingo Mad Angles Very Peri Peri 60 g,,20,15.00%,35.00%,17,20%,4,13,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH86557,JH,ITC Ltd,Bingo,86557,Bingo Cheese Nachos With Free Dip 44g,,20,15.00%,25.00%,17,10%,2,15,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH92148,JH,ITC Ltd,Bingo,92148,Bingo Original Style Flat Cut Salt Sprinkled Potato Chips 45 g,,20,15.00%,25.00%,17,10%,2,15,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH92149,JH,ITC Ltd,Bingo,92149,Bingo Original Style Flat Cut Chilli Sprinkled Potato Chips 85g,,50,15.00%,40.00%,42.5,25%,12.5,30,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH95128,JH,ITC Ltd,Bingo,95128,Bingo Hashtags Cream & Onion Potato Chips 53g,,30,15.00%,35.00%,25.5,20%,6,19.5,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH95132,JH,ITC Ltd,Bingo,95132,Bingo Hashtags Spicy Masala Potato Chips 53g,,30,15.00%,35.00%,25.5,20%,6,19.5,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH13443,JH,ITC Ltd,Bingo,13443,Bingo Tedhe Medhe Masala Tadka 40g,,20,15.00%,30.00%,17,15%,3,14,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH34756,JH,ITC Ltd,Yippee,34756,Sunfeast YiPPee Magic Masala | 560g | Pack of 1,,120,13.00%,36.00%,104.4,23%,27.6,76.8,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH11242,JH,ITC Ltd,Yippee,11242,Sunfeast Yippee Magic Masala Noodles 240g,,35,13.00%,28.00%,30.45,15%,5.25,25.2,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH100856,JH,ITC Ltd,Sunfeast,100856,Yippee Spicy Kimchi Veg Korean Noodles 75g Pack of 1,,55,13.00%,33.00%,47.85,20%,11,36.85,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH100855,JH,ITC Ltd,Sunfeast,100855,"Sunfeast YiPPee! Korean Fiery Hot Style Noodles, Deliciously Spicy Noodles with 5 Added Vegetables 75g Pack of 1",,55,13.00%,33.00%,47.85,20%,11,36.85,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH2863,JH,ITC Ltd,Sunfeast Yippee,2863,Sunfeast Instant Yippee Noodles Mood Masala With 2 Masala Mix Sachet 260g,,80,13.00%,33.00%,69.6,20.00%,16,53.6,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH28835,JH,ITC Ltd,Sunfeast,28835,Sunfeast Yippee Pasta Treat Masala 65g,,28,13.00%,33.00%,24.36,20.00%,5.6,18.76,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH11792,JH,Greendot Health Foods,Cornitos,11792,Cornitos Nacho Crisps Cheese and Herbs 60g,,35,25%,35.00%,26.25,10%,3.5,22.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH11799,JH,Greendot Health Foods,Cornitos,11799,Cornitos Nacho Crisps Sizzlin Jalapeno 55g,,35,25%,35.00%,26.25,10%,3.5,22.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH11804,JH,Greendot Health Foods,Cornitos,11804,Cornitos Nacho Crisps Sweet Chili 60g,,35,25%,35.00%,26.25,10%,3.5,22.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH101519,JH,Greendot Health Foods,Cornitos,101519,Cornitos Peri Peri Nachos 55g Pack of 1,,35,25%,35.00%,26.25,10%,3.5,22.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH11787,JH,Greendot Health Foods,Cornitos,11787,Cornitos Nacho Crisps Tikka Masala 60g,,35,25%,35.00%,26.25,10%,3.5,22.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH11794,JH,Greendot Health Foods,Cornitos,11794,Cornitos Nacho Crisps 3 Pack Combo with Free Dip Combo 60g,,120,25%,43.00%,90,18%,21.6,68.4,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH84798,JH,Greendot Health Foods,Cornitos,84798,Cornitos Nachos Jalapeno & Salsa Dip 70g Tray,,70,25%,35.00%,52.5,10%,7,45.5,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH82802,JH,Greendot Health Foods,Cornitos,82802,Cornitos Peri Peri Nachos & Salsa Dip Nacho Crispa 70g,,70,25%,35.00%,52.5,10%,7,45.5,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH70215,JH,Greendot Health Foods,Cornitos,70215,Cornitos Party Mix Snacks 200g,,145,25%,35.00%,108.75,10%,14.5,94.25,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH101520,JH,Greendot Health Foods,Cornitos,101520,Cornitos Crusties Sour Cream & Onion 62gm Pack of 1,,60,25%,62.50%,45,37.50%,22.5,22.5,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH101521,JH,Greendot Health Foods,Cornitos,101521,Cornitos Crusties Korean Chilli 62gm Pack of 1,,60,25%,62.50%,45,37.50%,22.5,22.5,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH101522,JH,Greendot Health Foods,Cornitos,101522,Cornitos Crusties | Classic Cheese Balls | 52g | Pack of 1,,50,25%,62.50%,37.5,37.50%,18.75,18.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH42859,JH,Greendot Health Foods,Cornitos,42859,Cornitos Crusties Chana Snacks Cholesterol & Gluten Free Dilli Chaat 50g,,50,25%,62.50%,37.5,37.50%,18.75,18.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH8594,JH,Weikfield Foods Private Limited.,Weikfield,8594,WK CORNFLOUR 107 gm,,33,25%,34.09%,24.75,9.09%,3,21.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH13555,JH,Weikfield Foods Private Limited.,Weikfield,13555,WK CORNFLOUR 500 gm,,89,25%,36.24%,66.75,11.24%,10,56.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH43150,JH,Weikfield Foods Private Limited.,Weikfield,43150,CHEF BASKET MACARONI 850g,,112,25%,38.39%,84,13.39%,15,69,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH8351,JH,Weikfield Foods Private Limited.,Weikfield,8351,WK BAKING POWDER 400 gm,,103,25%,34.71%,77.25,9.71%,10,67.25,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH8315,JH,Weikfield Foods Private Limited.,Weikfield,8315,WK CUSTURD 107g VANILA,,45,25%,29.44%,33.75,4.44%,2,31.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH13909,JH,Weikfield Foods Private Limited.,Weikfield,13909,WK CUSTURD 500 gm,,165,25%,31.06%,123.75,6.06%,10,113.75,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH81866,JH,Pepsico Foods,Lays,81866,Lays american style cream & onion | 80 g | Pack of 1,,48,14%,34.00%,41.28,20%,9.6,31.68,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH104543,JH,Pepsico Foods,Lays,104543,Lay's Hot & Sweet Chips | 82g | Pack of 1,,48,14%,34.00%,41.28,20%,9.6,31.68,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH75502,JH,Pepsico Foods,Lays,75502,Lays Indias Magic Masala Potato Chips 82g,,48,14%,34.00%,41.28,20%,9.6,31.68,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH104544,JH,Pepsico Foods,Lays,104544,Lay's Spanish Tomato Chips | 82g | Pack of 1,,48,14%,34.00%,41.28,20%,9.6,31.68,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH14654,JH,Pepsico Foods,Quaker,14654,Quaker Oats Pouch 1 kg,,210,13%,28.00%,182.7,15%,31.5,151.2,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH2598,JH,Pepsico Foods,Quaker,2598,Quaker Wholegrain Oats 400g,,86,13%,18.81%,74.82,5.81%,5,69.82,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH72114,JH,Pepsico Foods,Lays,72114,Sesa Ayurvedic Hand Wash Real Turmeric Extract 750ml,,30,14%,21.00%,25.8,7%,2.1,23.7,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH4666,JH,Pepsico Foods,Lays,4666,Uncle Chipps Plain Salted Potato Chips 48.1g,,20,14%,24.00%,17.2,10%,2,15.2,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,JH4668,JH,Pepsico Foods,Lays,4668,Uncle Chipps Spice Treat Potato Chips 48.1g,,20,14%,24.00%,17.2,10%,2,15.2,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG17442,CG,Rasna Pvt. Ltd.,Rasna,17442,Rasna Fruit Fun 32 Glass Mango 20g,,47,20.00%,30.64%,37.6,10.64%,5,32.6,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG27553,CG,Rasna Pvt. Ltd.,Rasna,27553,Rasna Fruit Fun 32 Glass Orange Flavour 20g,,47,20.00%,30.64%,37.6,10.64%,5,32.6,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG37392,CG,Rasna Pvt. Ltd.,Rasna,37392,Rasna Fruit Plus Insta | 500g | Pack of 1,,170,20.00%,25.88%,136,5.88%,10,126,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG44293,CG,Rasna Pvt. Ltd.,Rasna,44293,Rasna Instant Orange Drink Mix | 500g | Pack of 1,,170,20.00%,25.88%,136,5.88%,10,126,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG17923,CG,Rasna Pvt. Ltd.,Rasna,17923,Rasna Fruit Plus 21 Mango Power Squash 750ml,,150,20.00%,26.67%,120,6.67%,10.01,110,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG17922,CG,Rasna Pvt. Ltd.,Rasna,17922,Rasna Fruit Juice Fruit Plus Orange Super Squash 750ml,,150,20.00%,26.67%,120,6.67%,10.01,110,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG93818,CG,GuiltFree Industries,Too Yumm,93818,Too Yumm Smoking Hot Bhoot Potato Chips | 44g | Pack of 1,,20,22%,32.00%,15.6,10%,2,13.6,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG3210,CG,GuiltFree Industries,Too Yumm,3210,Too Yumm Karare Chilli Achari | 70 g | Pack of 1,,20,22%,32.00%,15.6,10%,2,13.6,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG76419,CG,GuiltFree Industries,Too Yumm,76419,Too Yumm Multigrain Chips Dahi Papdi Chaat | 70g | Pack of 1,,35,22%,32.00%,27.3,10%,3.5,23.8,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG10356,CG,GuiltFree Industries,Too Yumm,10356,Too Yumm Chips American Style | 35g | Pack of 1,,20,22%,32.00%,15.6,10%,2,13.6,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG97019,CG,GuiltFree Industries,Too Yumm,97019,Too Yumm Chips American Style Cream & Onion 82g,,45,22%,32.00%,35.1,10%,4.5,30.6,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG97020,CG,GuiltFree Industries,Too Yumm,97020,Too Yumm Chips Indian Masala | 79 g | Pack of 1,,45,22%,32.00%,35.1,10%,4.5,30.6,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG76416,CG,GuiltFree Industries,Too Yumm,76416,Too Yumm Veggie Stix Chilli Chataka 75g,,35,22%,32.00%,27.3,10%,3.5,23.8,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG97018,CG,GuiltFree Industries,Too Yumm,97018,Too Yumm Veggie Stix Sour Cream & Onion 75g,,35,22%,32.00%,27.3,10%,3.5,23.8,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG68872,CG,Kellogg's India,Kellogg's,68872,Kelloggs Chocos Variety pack 7N 140g,,70,11.50%,15.79%,61.95,4.29%,3,58.95,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG10178,CG,Kellogg's India,Kellogg's,10178,Kelloggs Corn Flakes Original 900g,,375,11.50%,18.43%,331.88,6.93%,25.99,305.89,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG2587,CG,Kellogg's India,Kellogg's,2587,KELLOGS CORNFLAKE CHOCOS 675g,,293,11.50%,17.98%,259.31,6.48%,18.99,240.32,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG2888,CG,Kellogg's India,Kellogg's,2888,Kelloggs MG Chocos 1.10Kg,,489,11.50%,18.45%,432.77,6.95%,33.99,398.78,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG11294,CG,Kellogg's India,Kellogg's,11294,Kelloggs Muesli Fruit & Nut 750g,,489,11.50%,17.63%,432.77,6.13%,29.98,402.79,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG11500,CG,Kellogg's India,Kellogg's,11500,Kelloggs Oats 900g,,199,11.50%,26.07%,176.12,14.57%,28.99,147.12,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG4797,CG,Kellogg's India,Kellogg's,4797,Kelloggs Muesli With 20% Nuts Delight 500g,,365,11.50%,16.71%,323.03,5.21%,19.02,304.01,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG2777,CG,Kellogg's India,Kellogg's,2777,Kelloggs Muesli Fruit & Nut 500g,,365,11.50%,16.71%,323.03,5.21%,19.02,304.01,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG102269,CG,Kellogg's India,Kellogg's,102269,KELLOGG'S CHOCOLATE MUESLI 75G PP,,52,11.50%,18.23%,46.02,6.73%,3.5,42.52,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG102268,CG,Kellogg's India,Kellogg's,102268,KELLOGG'S CHOCOLATE MUESLI 450G PP,,355,11.50%,24.74%,314.18,13.24%,47,267.17,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG102420,CG,Kellogg's India,Kellogg's,102420,Pringles Desi Masala Tadka Crisps 40g,,53,11.50%,17.16%,46.91,5.66%,3,43.91,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG24252,CG,Kellogg's India,Kellogg's,24252,Pringles Desi Masala Tadka Flavour Chips 102g,,110,11.50%,18.77%,97.35,7.27%,8,89.35,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG90599,CG,Kellogg's India,Kellogg's,90599,Pringles Original Potato Crisps 40g,,53,11.50%,17.16%,46.91,5.66%,3,43.91,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG102421,CG,Kellogg's India,Kellogg's,102421,PRINGLES POTATO CRISPS ORIGINAL 107g,,110,11.50%,18.77%,97.35,7.27%,8,89.35,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG24254,CG,Kellogg's India,Kellogg's,24254,Pringles Peri Peri 102g,,110,11.50%,18.77%,97.35,7.27%,8,89.35,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG90600,CG,Kellogg's India,Kellogg's,90600,Pringles Sour Cream & Onion Flavour Potato Chips 40 g,,53,11.50%,17.16%,46.91,5.66%,3,43.91,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG29964,CG,Kellogg's India,Kellogg's,29964,Pringles Sour Cream & Onion Flavour Chips 107g,,110,11.50%,18.77%,97.35,7.27%,8,89.35,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG92753,CG,Kellogg's India,Kellogg's,92753,Pringles Tangy Tomato Twist Flavour Chips 102 g,,110,11.50%,18.77%,97.35,7.27%,8,89.35,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG81696,CG,Agro Tech Foods,Agro Tech Foods,81696,Act II Golden Sizzle Instant Popcorn 60g*3N Combo Pack,,60,15.25%,25.25%,50.85,10.00%,6,44.85,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG69319,CG,Agro Tech Foods,Agro Tech Foods,69319,Act II Popcorn Classic Salted 60*3 g,,60,15.25%,25.25%,50.85,10.00%,6,44.85,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG71853,CG,Agro Tech Foods,Agro Tech Foods,71853,Act II Butter Delite Party Pack Instant Popcorn 150g Pack of 3,,125,15.25%,23.25%,105.94,8.00%,10,95.94,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG3069,CG,Agro Tech Foods,Agro Tech Foods,3069,Sundrop Peanut Butter Regular Creamy Jar 924g,,275,15.25%,24.34%,233.06,9.09%,25,208.06,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG3070,CG,Agro Tech Foods,Agro Tech Foods,3070,Sundrop Peanut Butter Regular Crunchy Jar 924g,,275,15.25%,24.34%,233.06,9.09%,25,208.06,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG81414,CG,Agro Tech Foods,Agro Tech Foods,81414,Act II Sour Cream & Cheese Popcorn 50g,,37,15.25%,34.17%,31.36,18.92%,7,24.36,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG103892,CG,Agro Tech Foods,Agro Tech Foods,103892,ACT II RTE Hot & Spicy Popcorn 50 gm,,37,15.25%,34.17%,31.36,18.92%,7,24.36,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG102467,CG,Sona Biscuits Ltd.,Sobisco,102467,SOBISCO Breakfast Blueberry biscuits 168 g,,60,25.00%,37.00%,45,12%,7.2,37.8,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG102466,CG,Sona Biscuits Ltd.,Sobisco,102466,SOBISCO Breakfast cinnamon biscuits 168 g,,60,25.00%,37.00%,45,12%,7.2,37.8,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG2950,CG,Sona Biscuits Ltd.,Sobisco,2950,SOBISCO Breakfast golden oats biscuits 168 g,,60,25.00%,37.00%,45,12%,7.2,37.8,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG95036,CG,Sona Biscuits Ltd.,Sobisco,95036,Sobisco Choco Puff Sandwich Biscuits 125 g,,20,25.00%,30.00%,15,5%,1,14,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG102465,CG,Sona Biscuits Ltd.,Sobisco,102465,SOBISCO Choco treat cream biscuits 200 g,,30,25.00%,32.00%,22.5,7%,2.1,20.4,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG92264,CG,Sona Biscuits Ltd.,Sobisco,92264,SOBISCO Choco vanilla puff cream biscuits 125 g,,20,25.00%,30.00%,15,5%,1,14,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG95030,CG,Sona Biscuits Ltd.,Sobisco,95030,SOBISCO Cream cracker biscuits 300 g,,40,25.00%,30.00%,30,5%,2,28,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG27182,CG,Sona Biscuits Ltd.,Sobisco,27182,SOBISCO Desire butter biscuits 300 g,,40,25.00%,32.00%,30,7%,2.8,27.2,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG95032,CG,Sona Biscuits Ltd.,Sobisco,95032,SOBISCO Desire kaju butter biscuits 300 g,,40,25.00%,32.00%,30,7%,2.8,27.2,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG95029,CG,Sona Biscuits Ltd.,Sobisco,95029,SOBISCO Desire milk biscuits 220 g,,30,25.00%,30.00%,22.5,5%,1.5,21,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG102468,CG,Sona Biscuits Ltd.,Sobisco,102468,SOBISCO digestive biscuits 200 g,,55,25.00%,30.00%,41.25,5%,2.75,38.5,OFF Invoice,,,,,,,,,,,,,,,,,,
FMCGF,CG46627,CG,Sona Biscuits Ltd.,Sobisco,46627,SOBISCO Hum Tum Kracker biscuits 65 g,,10,25.00%,30.00%,7.5,5%,0.5,7,OFF Invoice,,,,,,,,,,,,,,,,,,
