item_code,blinkit_url,jio_url
10147,https://blinkit.com/prn/x/prid/181650,
101476,https://blinkit.com/prn/x/prid/19593,https://www.jiomart.com/p/groceries/dabur-red-gel-toothpaste-150-g-pack-of-2/590032461
101512,https://blinkit.com/prn/x/prid/557570,https://www.jiomart.com/p/groceries/pond-s-super-light-hydrated-glow-gel-200-ml/602996173
10152,https://blinkit.com/prn/x/prid/520079,https://www.jiomart.com/p/groceries/doms-dust-free-erasers-pack-of-20/590109557
101520,https://blinkit.com/prn/x/prid/524115,
101521,https://blinkit.com/prn/x/prid/599235,
101522,https://blinkit.com/prn/x/prid/599233,
10154,https://blinkit.com/prn/x/prid/364184,https://www.jiomart.com/p/groceries/dabur-red-gel-toothpaste-150-g-pack-of-2/590032461
10157,https://blinkit.com/prn/x/prid/520080,
10160,https://blinkit.com/prn/x/prid/520080,
101769,https://blinkit.com/prn/x/prid/455176,https://www.jiomart.com/p/groceries/sunlight-liquid-detergent-430-ml/602046293
10177,https://blinkit.com/prn/x/prid/394545,https://www.jiomart.com/p/groceries/godrej-protekt-magic-neem-aloe-vera-powder-to-liquid-handwash-9-g/603446187
10178,https://blinkit.com/prn/x/prid/95769,https://www.jiomart.com/p/groceries/kellogg-s-original-cornflakes-875-g/491126713
10186,https://blinkit.com/prn/x/prid/541687,
101860,https://blinkit.com/prn/x/prid/483002,https://www.jiomart.com/p/groceries/parle-2-in1-eclairs-toffee-217-8-g/590034272
101868,https://blinkit.com/prn/x/prid/127687,https://www.jiomart.com/p/groceries/lux-velvet-touch-jasmine-almond-oil-soap-100-g-pack-of-4/590310607
101870,https://blinkit.com/prn/x/prid/521419,https://www.jiomart.com/p/groceries/sunfeast-yippee-magic-masala-instant-noodles-360-g/491337398
101976,https://blinkit.com/prn/x/prid/131641,
101977,https://blinkit.com/prn/x/prid/131641,
101979,https://blinkit.com/prn/x/prid/421742,
101986,https://blinkit.com/prn/x/prid/463281,
101988,https://blinkit.com/prn/x/prid/158316,
101999,https://blinkit.com/prn/x/prid/163617,
102000,https://blinkit.com/prn/x/prid/163617,
102002,https://blinkit.com/prn/x/prid/364321,
102008,https://blinkit.com/prn/x/prid/379583,
102009,https://blinkit.com/prn/x/prid/401935,
102010,https://blinkit.com/prn/x/prid/453573,
102017,https://blinkit.com/prn/x/prid/23484,https://www.jiomart.com/p/groceries/mtr-ready-to-eat-paneer-butter-masala-300-g/490009004
102026,https://blinkit.com/prn/x/prid/529932,
102030,https://blinkit.com/prn/x/prid/443547,
102031,https://blinkit.com/prn/x/prid/355051,
102089,https://blinkit.com/prn/x/prid/564023,
102133,https://blinkit.com/prn/x/prid/11020,https://www.jiomart.com/p/groceries/cadbury-dairy-milk-home-treats-91-g/610909790
102135,https://blinkit.com/prn/x/prid/543,https://www.jiomart.com/p/groceries/cadbury-dairy-milk-crackle-chocolate-75-g/610989264
102137,https://blinkit.com/prn/x/prid/542,https://www.jiomart.com/p/groceries/cadbury-roasted-almond-dairy-milk-chocolates-80-g/609461114
102148,https://blinkit.com/prn/x/prid/543889,
102162,https://blinkit.com/prn/x/prid/184269,
102163,https://blinkit.com/prn/x/prid/184269,
102170,https://blinkit.com/prn/x/prid/390200,
102216,https://blinkit.com/prn/x/prid/428614,https://www.jiomart.com/p/groceries/banana-flower-per-piece/590000182
102217,https://blinkit.com/prn/x/prid/270197,
102234,https://blinkit.com/prn/x/prid/4967,
102245,https://blinkit.com/prn/x/prid/566489,
102267,https://blinkit.com/prn/x/prid/415766,https://www.jiomart.com/product/kelloggs-muesli-0-added-sugar-400-g-mffn0r-7522400
