State,Item Code,Item Name,Category,Sub-Category,Leaf Category,Brand,Product Type,Marketd By,Master Catgory
CG,93155,Uni Fresh Heavy Duty Coconut Jhadu | Pack of 1,Cleaning & Household Needs,"Mops, Brushes & Scrubs",Brooms & Dust Pans,Uni Fresh,Broom,Uni Fresh,GM
CG,100946,Washway Steel Tongue Cleaner | Regular Double Handle | Pack of 1,Personal Care,Oral Care,Oral Accessories,Washway,Tongue Cleaner,NAR Hygiene LLP,GM
WB,68755,Apsara Non Dust Erasers 1N,Stationery,School Stationery,Eraser,Apsara,Eraser,Hindustan Agro Products,GM
WB,96442,B Vishal Loofah + D30 | 30g | Multicolor | Pack of 1 | Color May Vary,Personal Care,Bath & Body Wash,Bathing Accessories,B Vishal,Loofah,B Vishal Corporation,GM
WB,96498,B Vishal Transparent Tape | 30 Mtr | 1/2 Inch | Pack of 1,Stationery,Glue & Tape,Glue,B Vishal,Tape,B Vishal Corporation,GM
WB,10868,Classmate Octane Gel Pen | Black | Pack of 1,Stationery,School Stationery,Pens,Classmate,Gel Pen,ITC Ltd,GM
WB,10867,Classmate Octane Gel Pen | Blue | Pack of 1,Stationery,School Stationery,Pens,Classmate,Gel Pen,ITC Ltd,GM
WB,96005,Cook & Home Lighter + Knife | Pack of 1,Home & Kitchen,Kitchen Utility,"Knives, Tools & Others Accessories",Cook & Home,Lighter+Knife,Nayan Traders,GM
WB,1392,Cycle Naivedya Sambrani | Pack of 12,Pooja Needs,Pooja Needs,Agarbatti & Dhoop,Cycle,Sambrani,N Ranga Rao & Sons,GM
WB,1394,Cycle Om Shanti Pure Camphor | 25 Pcs | Pack of 1,Pooja Needs,Pooja Needs,Camphor & Wicks,Cycle,Camphor,N Ranga Rao & Sons,GM
WB,1395,Cycle Om Shanti Pure Camphor | 52 Pcs | Pack of 1,Pooja Needs,Pooja Needs,Camphor & Wicks,Cycle,Camphor,N Ranga Rao & Sons,GM
WB,10157,Doms Extra Long Pencil Sharpner | Pack of 1,Stationery,School Stationery,Sharpener,Doms,Pencil Sharpener,Doms Industries,GM
WB,78590,Doms Scale 15Cm | Pack of 1,Stationery,School Stationery,Ruler,Doms,Scale,Doms Industries,GM
WB,1557,Doms X1 Xtra Dark Pencil | Pack of 10,Stationery,School Stationery,Pens,DOMS,Pencil,Doms Industries,GM
WB,1591,Duracell AA Chota Power Alkaline Battery | Pack of 1,Electricals & Accessories,Hardware & Electricals,Cells & Battery,Duracell,Cell,Procter & Gamble,GM
WB,1588,Duracell AAA Alkaline Battery | Pack of 1,Electricals & Accessories,Hardware & Electricals,Cells & Battery,Duracell,Cell,Procter & Gamble,GM
WB,4463,Eveready AA Battery 915 Blue | Pack of 1,Electricals & Accessories,Hardware & Electricals,Cells & Battery,Eveready,Cell,Eveready Battery Company,GM
WB,8181,Eveready Brightest LED Bulb | 9W | Pack of 1,Electronics,Lighting,Table Lamp & Led Lamp,Eveready,LED Bulb,Eveready Battery Company,GM
WB,2676,Fevi Kwik Instant Adhesive | 450mg | Pack of 1,Stationery,Glue & Tape,Glue,Fevikwik,Instant Adhesive,Pidilite Industries Limited,GM
WB,22277,Fevicol MR White Adhesive - 20g,Stationery,Glue & Tape,Glue,Fevicol,Glue,Pidilite Industries Limited,GM
